Date,^FTSE,^GSPC,^N225,^STOXX50E
2010-01-04,5500.2998046875,1132.989990234375,10654.7900390625,3017.800048828125
2010-01-05,5522.5,1136.52001953125,10681.830078125,3012.360107421875
2010-01-06,5530.0,1137.1400146484375,10731.4501953125,3009.659912109375
2010-01-07,5526.7001953125,1141.68994140625,10681.66015625,3007.340087890625
2010-01-08,5534.2001953125,1144.97998046875,10798.3203125,3017.85009765625
2010-01-11,5538.10009765625,1146.97998046875,,3010.239990234375
2010-01-12,5498.7001953125,1136.219970703125,10879.1396484375,2976.889892578125
2010-01-13,5473.5,1145.6800537109375,10735.0302734375,2978.409912109375
2010-01-14,5498.2001953125,1148.4599609375,10907.6796875,2989.7099609375
2010-01-15,5455.39990234375,1136.030029296875,10982.099609375,2940.25
2010-01-18,5494.39990234375,,10855.080078125,2957.8701171875
2010-01-19,5513.10009765625,1150.22998046875,10764.900390625,2984.820068359375
2010-01-20,5420.7998046875,1138.0400390625,10737.51953125,2914.60009765625
2010-01-21,5335.10009765625,1116.47998046875,10868.41015625,2863.25
2010-01-22,5303.0,1091.760009765625,10590.5498046875,2836.800048828125
2010-01-25,5260.2998046875,1096.780029296875,10512.6904296875,2807.300048828125
2010-01-26,5276.89990234375,1092.1700439453125,10325.2802734375,2827.739990234375
2010-01-27,5217.5,1097.5,10252.080078125,2787.39990234375
2010-01-28,5145.7001953125,1084.530029296875,10414.2900390625,2737.330078125
2010-01-29,5188.5,1073.8699951171875,10198.0400390625,2776.830078125
2010-02-01,5247.39990234375,1089.18994140625,10205.01953125,2793.2900390625
2010-02-02,5283.2998046875,1103.3199462890625,10371.08984375,2830.010009765625
2010-02-03,5253.2001953125,1097.280029296875,10404.330078125,2804.610107421875
2010-02-04,5139.2998046875,1063.1099853515625,10355.98046875,2707.449951171875
2010-02-05,5060.89990234375,1066.18994140625,10057.08984375,2631.639892578125
2010-02-08,5092.2998046875,1056.739990234375,9951.8203125,2664.2900390625
2010-02-09,5111.7998046875,1070.52001953125,9932.900390625,2668.429931640625
2010-02-10,5132.0,1068.1300048828125,9963.990234375,2700.169921875
2010-02-11,5161.5,1078.469970703125,,2680.25
2010-02-12,5142.5,1075.510009765625,10092.1904296875,2674.4599609375
2010-02-15,5167.5,,10013.2998046875,2683.830078125
2010-02-16,5244.10009765625,1094.8699951171875,10034.25,2720.77001953125
2010-02-17,5276.60009765625,1099.510009765625,10306.830078125,2762.25
2010-02-18,5325.10009765625,1106.75,10335.6904296875,2778.300048828125
2010-02-19,5358.2001953125,1109.1700439453125,10123.580078125,2793.3701171875
2010-02-22,5352.10009765625,1108.010009765625,10400.4697265625,2778.1201171875
2010-02-23,5315.10009765625,1094.5999755859375,10352.099609375,2730.570068359375
2010-02-24,5342.89990234375,1105.239990234375,10198.830078125,2734.949951171875
2010-02-25,5278.2001953125,1102.93994140625,10101.9599609375,2684.419921875
2010-02-26,5354.5,1104.489990234375,10126.0302734375,2728.469970703125
2010-03-01,5405.89990234375,1115.7099609375,10172.0595703125,2772.699951171875
2010-03-02,5484.10009765625,1118.31005859375,10221.83984375,2796.330078125
2010-03-03,5533.2001953125,1118.7900390625,10253.1396484375,2822.590087890625
2010-03-04,5527.2001953125,1122.969970703125,10145.7197265625,2816.10009765625
2010-03-05,5599.7998046875,1138.699951171875,10368.9599609375,2877.43994140625
2010-03-08,5606.7001953125,1138.5,10585.919921875,2879.2900390625
2010-03-09,5602.2998046875,1140.449951171875,10567.650390625,2880.7099609375
2010-03-10,5640.60009765625,1145.6099853515625,10563.919921875,2909.39990234375
2010-03-11,5617.2998046875,1150.239990234375,10664.9501953125,2895.739990234375
2010-03-12,5625.7001953125,1149.989990234375,10751.259765625,2898.360107421875
2010-03-15,5593.89990234375,1150.510009765625,10751.98046875,2870.550048828125
2010-03-16,5620.39990234375,1159.4599609375,10721.7099609375,2905.929931640625
2010-03-17,5644.60009765625,1166.2099609375,10846.98046875,2931.31005859375
2010-03-18,5642.60009765625,1165.8299560546875,10744.0302734375,2913.739990234375
2010-03-19,5650.10009765625,1159.9000244140625,10824.7197265625,2897.949951171875
2010-03-22,5644.5,1165.81005859375,,2890.75
2010-03-23,5673.60009765625,1174.1700439453125,10774.150390625,2910.52001953125
2010-03-24,5677.89990234375,1167.719970703125,10815.0302734375,2903.93994140625
2010-03-25,5727.7001953125,1165.72998046875,10828.849609375,2948.090087890625
2010-03-26,5703.0,1166.5899658203125,10996.3701171875,2940.93994140625
2010-03-29,5710.7001953125,1173.219970703125,10986.4697265625,2947.489990234375
2010-03-30,5672.2998046875,1173.27001953125,11097.1396484375,2939.679931640625
2010-03-31,5679.60009765625,1169.4300537109375,11089.9404296875,2931.159912109375
2010-04-01,5744.89990234375,1178.0999755859375,11244.400390625,2978.5
2010-04-02,,,11286.08984375,
2010-04-05,,1187.43994140625,11339.2998046875,
