iter	Passed	Remaining
659	417332	214989
660	417979	214364
661	418585	213719
662	419191	213073
663	419814	212436
664	420400	211780
665	421029	211146
666	421690	210529
667	422331	209901
668	422975	209274
669	423594	208636
670	424244	208012
671	424981	207431
672	425599	206792
673	426263	206174
674	426865	205527
675	427474	204884
676	428074	204236
677	428671	203587
678	429267	202937
679	429921	202316
680	430531	201673
681	431180	201048
682	431789	200406
683	432450	199787
684	433079	199153
685	433691	198511
686	434322	197879
687	434923	197232
688	435509	196579
689	436114	195935
690	436665	195267
691	437270	194623
692	437886	193984
693	438463	193328
694	439126	192710
695	439748	192074
696	440399	191450
697	441041	190823
698	441632	190173
699	442258	189539
700	442902	188912
701	443543	188284
702	444203	187664
703	444793	187015
704	445380	186365
705	446028	185739
706	446618	185091
707	447269	184467
708	447880	183826
709	448485	183184
710	449082	182538
711	449697	181900
712	450329	181268
713	451014	180658
714	451651	180028
715	452290	179400
716	452893	178757
717	453507	178118
718	454111	177476
719	454721	176835
720	455328	176195
721	455963	175564
722	456571	174924
723	457221	174299
724	457850	173667
725	458483	173036
726	459113	172404
727	459697	171755
728	460335	171126
729	460969	170495
730	461636	169877
731	462257	169241
732	462854	168597
733	463483	167965
734	464139	167342
735	464728	166696
736	465364	166066
737	465977	165428
738	466596	164792
739	467252	164169
740	467912	163548
741	468514	162906
742	469189	162290
743	469850	161668
744	470475	161035
745	471134	160413
746	471775	159784
747	472365	159139
748	473036	158520
749	473686	157895
750	474351	157274
751	474949	156632
752	475551	155990
753	476145	155347
754	476776	154715
755	477421	154088
756	478121	153478
757	478750	152846
758	479327	152197
759	479935	151558
760	480548	150921
761	481185	150291
762	481827	149663
763	482443	149027
764	483093	148401
765	483693	147760
766	484338	147132
767	484965	146500
768	485567	145859
769	486213	145232
770	486841	144600
771	487479	143970
772	488042	143319
773	488655	142682
774	489256	142042
775	489895	141413
776	490547	140787
777	491196	140161
778	491801	139522
779	492462	138899
780	493141	138281
781	493734	137639
782	494376	137011
783	495021	136383
784	495667	135756
785	496305	135126
786	496908	134487
787	497536	133854
788	498176	133225
789	498952	132632
790	499615	132009
791	500242	131376
792	500893	130750
793	501505	130113
794	502116	129476
795	502689	128829
796	503318	128197
797	503963	127569
798	504550	126926
799	505198	126299
800	505888	125682
801	506528	125053
802	507227	124438
803	507872	123809
804	508467	123169
805	509106	122539
806	509737	121907
807	510357	121273
808	511020	120648
809	511684	120024
810	512377	119407
811	513010	118775
812	513591	118132
813	514218	117499
814	514856	116869
815	515457	116230
816	516099	115601
817	516735	114970
818	517350	114335
819	518039	113716
820	518692	113088
821	519356	112464
822	519945	111822
823	520584	111192
824	521221	110562
825	521846	109928
826	522504	109302
827	523131	108669
828	523772	108039
829	524370	107401
830	525031	106775
831	525620	106134
832	526283	105509
833	526909	104876
834	527499	104236
835	528142	103606
836	528776	102975
837	529441	102350
838	530067	101717
839	530722	101089
840	531345	100456
841	531961	99821
842	532572	99186
843	533232	98559
844	533869	97928
845	534483	97293
846	535150	96668
847	535803	96040
848	536444	95410
849	537063	94775
850	537683	94142
851	538322	93511
852	538971	92882
853	539619	92253
854	540233	91618
855	540835	90981
856	541505	90356
857	542142	89725
858	542755	89090
859	543403	88461
860	544122	87843
861	544770	87213
862	545388	86579
863	546012	85946
864	546662	85317
865	547409	84703
866	547996	84063
867	548622	83431
868	549250	82798
869	549846	82160
870	550469	81527
871	551143	80901
872	551762	80267
873	552384	79634
874	552973	78996
875	553590	78362
876	554185	77725
877	554840	77096
878	555472	76464
879	556102	75832
880	556736	75200
881	557304	74559
882	557981	73934
883	558608	73301
884	559256	72671
885	559893	72040
886	560535	71409
887	561146	70775
888	561786	70144
889	562444	69515
890	563097	68886
891	563700	68250
892	564329	67618
893	564990	66989
894	565610	66356
895	566226	65722
896	566856	65090
897	567513	64461
898	568113	63825
899	568765	63196
900	569417	62566
901	570046	61934
902	570634	61297
903	571293	60668
904	571959	60039
905	572604	59409
906	573334	58787
907	573986	58157
908	574586	57521
909	575246	56892
910	575906	56263
911	576541	55631
912	577126	54994
913	577752	54361
914	578408	53731
915	579046	53100
916	579787	52478
917	580432	51846
918	581080	51216
919	581674	50580
920	582278	49945
921	582929	49315
922	583592	48685
923	584246	48054
924	584876	47422
925	585509	46790
926	586100	46154
927	586719	45521
928	587346	44888
929	587972	44256
930	588594	43622
931	589207	42989
932	589866	42359
933	590536	41729
934	591177	41097
935	591820	40466
936	592445	39833
937	593089	39202
938	593738	38570
939	594331	37936
940	594996	37305
941	595625	36673
942	596271	36041
943	596892	35408
944	597550	34778
945	598151	34143
946	598736	33508
947	599340	32875
948	599994	32244
949	600615	31611
950	601209	30977
951	601797	30342
952	602436	29710
953	603064	29078
954	603704	28446
955	604318	27813
956	604958	27182
957	605572	26549
958	606195	25916
959	606851	25285
960	607501	24654
961	608148	24022
962	608794	23390
963	609419	22758
964	609957	22122
965	610599	21491
966	611214	20858
967	611857	20226
968	612456	19593
969	613055	18960
970	613683	18328
971	614275	17695
972	614911	17063
973	615507	16430
974	616138	15798
975	616728	15165
976	617346	14533
977	617988	13901
978	618629	13269
979	619269	12638
980	619914	12006
981	620504	11373
982	621139	10741
983	621783	10110
984	622408	9478
985	623023	8846
986	623615	8213
987	624233	7581
988	624857	6949
989	625463	6317
990	626102	5686
991	626762	5054
992	627417	4422
993	628045	3791
994	628689	3159
995	629299	2527
996	629949	1895
997	630582	1263
998	631151	631
999	631781	0
