Date,AAPL,ADBE,AMAT,AMD,AVGO,CRM,CSCO,GOOG,IBM,INTC,INTU,META,MSFT,MU,NOW,NVDA,ORCL,QCOM,SNPS,TXN
2019-01-02,37.469200134277344,224.57000732421875,31.027198791503906,18.829999923706055,20.959409713745117,133.5886688232422,34.47218704223633,51.86668014526367,80.14332580566406,40.518043518066406,184.6621856689453,134.62355041503906,94.39717102050781,31.940654754638672,35.66400146484375,3.376983404159546,40.505611419677734,48.15235900878906,84.05000305175781,76.53622436523438
2019-01-03,33.73699188232422,215.6999969482422,29.229331970214844,17.049999237060547,19.095050811767578,128.51319885253906,33.218502044677734,50.389305114746094,78.54340362548828,38.28903579711914,179.01226806640625,130.71421813964844,90.92447662353516,30.23390007019043,33.82400131225586,3.1729562282562256,40.11146926879883,46.72624206542969,81.11000061035156,72.02263641357422
2019-01-04,35.17719650268555,226.19000244140625,31.231090545654297,19.0,19.282724380493164,135.9638214111328,34.71483612060547,53.09955596923828,81.61112213134766,40.63853454589844,186.114990234375,136.87586975097656,95.15331268310547,31.89190101623535,35.84600067138672,3.3762400150299072,41.840267181396484,47.48124694824219,83.9000015258789,75.28019714355469
2019-01-07,35.09890365600586,229.25999450683594,31.787128448486328,20.56999969482422,19.675439834594727,140.16221618652344,34.94939422607422,52.9844970703125,82.18848419189453,40.8278694152832,188.95425415039062,136.97508239746094,95.2746353149414,33.159759521484375,37.33399963378906,3.5549800395965576,42.50312042236328,47.34702682495117,85.76000213623047,76.57673645019531
2019-01-08,35.76799392700195,232.67999267578125,30.498958587646484,20.75,19.517532348632812,143.61154174804688,35.23249053955078,53.37578582763672,83.3571548461914,41.08605194091797,193.48362731933594,141.42019653320312,95.96546936035156,32.906192779541016,37.62200164794922,3.466477632522583,42.88827896118164,46.935970306396484,86.0999984741211,76.47948455810547
2019-01-09,36.375396728515625,235.42999267578125,31.787128448486328,20.190000534057617,20.36166000366211,143.8776397705078,35.03837203979492,53.29544448852539,83.95539093017578,41.31842803955078,192.88406372070312,143.1069793701172,97.33773040771484,34.564170837402344,38.09400177001953,3.534651756286621,42.798709869384766,47.4896354675293,86.95999908447266,77.98672485351562
2019-01-10,36.491668701171875,237.77000427246094,32.21342468261719,19.739999771118164,20.629539489746094,144.9124298095703,34.97365951538086,53.08070755004883,84.7205581665039,41.79176330566406,196.1199951171875,143.0771942138672,96.7122573852539,35.02256393432617,38.0,3.6003475189208984,42.83454132080078,47.649009704589844,87.81999969482422,79.18602752685547
2019-01-11,36.133384704589844,237.5500030517578,32.23196792602539,20.270000457763672,20.71634292602539,145.4150848388672,35.175872802734375,52.42905807495117,84.49101257324219,42.110198974609375,196.20571899414062,142.68032836914062,95.96546936035156,35.12008285522461,38.3380012512207,3.6895930767059326,43.255550384521484,48.23625183105469,87.70999908447266,79.89100646972656
2019-01-14,35.59004592895508,234.55999755859375,31.379371643066406,20.229999542236328,20.74114990234375,143.93678283691406,34.94939422607422,51.80915069580078,83.7466812133789,41.61104202270508,195.25392150878906,144.2579345703125,95.26531219482422,33.813209533691406,37.68000030517578,3.729506731033325,43.15700912475586,48.06846618652344,87.41000366210938,78.05964660644531
2019-01-15,36.31846237182617,242.36000061035156,31.277423858642578,20.3799991607666,21.205791473388672,147.03134155273438,35.604557037353516,53.41892623901367,84.67884063720703,41.8261833190918,199.68911743164062,147.79022216796875,98.02852630615234,33.15001678466797,37.66999816894531,3.715376377105713,43.50773239135742,46.75141906738281,88.47000122070312,79.11307525634766
2019-01-16,36.76215744018555,241.9499969482422,31.17548370361328,19.729999542236328,20.809770584106445,146.39073181152344,35.55602264404297,53.60838317871094,84.602294921875,41.42170715332031,199.86045837402344,146.3911895751953,98.37391662597656,32.75014877319336,37.917999267578125,3.6898415088653564,43.21995162963867,46.36552047729492,88.94999694824219,78.74032592773438
