Date,AAPL,AMZN,CAT,DUK,GOOG,JNJ,JPM,NUE,PG,XOM,^GSPC
2020-01-02,72.33386993408203,94.90049743652344,132.3128204345703,70.55159759521484,67.811767578125,122.63821411132812,118.4303207397461,48.8879280090332,104.73535919189453,53.306396484375,3257.85009765625
2020-01-03,71.63064575195312,93.74849700927734,130.4757537841797,70.59845733642578,67.47900390625,121.21834564208984,116.86747741699219,48.2404670715332,104.03096008300781,52.87785339355469,3234.85009765625
2020-01-06,72.201416015625,95.14399719238281,130.3878936767578,70.94205474853516,69.14285278320312,121.067138671875,116.77455139160156,47.83247756958008,104.17521667480469,53.283851623535156,3246.280029296875
2020-01-07,71.86185455322266,95.34300231933594,128.66513061523438,70.49691772460938,69.09970092773438,121.80648803710938,114.78929901123047,47.72603988647461,103.53023529052734,52.84778594970703,3237.179931640625
2020-01-08,73.01786041259766,94.59850311279297,129.80776977539062,70.59845733642578,69.64422607421875,121.78965759277344,115.68477630615234,47.610740661621094,103.97154998779297,52.05083084106445,3253.050048828125
2020-01-09,74.56879425048828,95.05249786376953,129.48252868652344,70.77025604248047,70.41341400146484,122.15094757080078,116.107177734375,47.45109558105469,105.1087875366211,52.44929504394531,3274.699951171875
2020-01-10,74.73735809326172,94.15799713134766,128.4453582763672,70.62968444824219,70.90438842773438,121.87367248535156,114.9498291015625,46.80363845825195,105.21061706542969,51.9831428527832,3265.35009765625
2020-01-13,76.33406829833984,94.56500244140625,129.05184936523438,71.25444030761719,71.3755111694336,122.41136932373047,115.90440368652344,47.33578872680664,105.98290252685547,52.479366302490234,3288.1298828125
2020-01-14,75.30333709716797,93.47200012207031,128.92881774902344,71.30133819580078,70.9614028930664,123.10033416748047,117.25609588623047,47.894569396972656,105.8216781616211,52.028255462646484,3283.14990234375
2020-01-15,74.98059844970703,93.10099792480469,127.95314025878906,72.23063659667969,71.3740234375,123.51200866699219,115.49891662597656,47.38900375366211,106.89949798583984,51.94554901123047,3289.2900390625
2020-01-16,75.91984558105469,93.89700317382812,129.9748077392578,72.76949310302734,71.9939193725586,124.51176452636719,115.94664764404297,47.31805419921875,106.99283599853516,51.742549896240234,3316.81005859375
2020-01-17,76.76036834716797,93.23600006103516,130.80682373046875,73.19122314453125,73.41675567626953,125.32674407958984,116.74919128417969,47.72603988647461,107.2813720703125,51.54706954956055,3329.6201171875
2020-01-21,76.24016571044922,94.5999984741211,129.09849548339844,74.02687072753906,73.61561584472656,125.4107894897461,115.60028839111328,46.43998336791992,107.00980377197266,50.81025314331055,3320.7900390625
2020-01-22,76.5123062133789,94.37300109863281,126.24832153320312,74.43294525146484,73.69249725341797,124.55380249023438,115.46513366699219,46.09408187866211,107.19652557373047,50.51704025268555,3321.75
2020-01-23,76.88078308105469,94.22899627685547,126.35457611083984,75.03428649902344,73.7271957397461,124.78907012939453,115.34684753417969,45.898956298828125,106.70647430419922,50.201255798339844,3325.5400390625
2020-01-24,76.65922546386719,93.08200073242188,124.2567138671875,75.19046783447266,72.73832702636719,124.61263275146484,112.48303985595703,44.639503479003906,106.83454132080078,49.8629150390625,3295.469970703125
2020-01-27,74.40503692626953,91.41699981689453,120.1407699584961,75.04991912841797,71.11117553710938,124.97390747070312,111.536865234375,43.61953353881836,107.3041000366211,48.67499542236328,3243.6298828125
2020-01-28,76.5099105834961,92.6624984741211,121.0348129272461,75.13582611083984,72.03658294677734,125.60396575927734,113.56436920166016,43.87674331665039,107.59432983398438,48.607330322265625,3276.239990234375
2020-01-29,78.11143493652344,92.9000015258789,120.18507385253906,75.55752563476562,72.33760833740234,126.47771453857422,113.39539337158203,42.62615203857422,106.76622772216797,48.20132827758789,3273.39990234375
2020-01-30,77.99824523925781,93.53399658203125,119.82215881347656,76.11980438232422,72.19924926757812,126.32654571533203,114.7977523803711,43.33571243286133,107.52603912353516,48.712589263916016,3283.659912109375
2020-01-31,74.5398941040039,100.43599700927734,116.2638931274414,76.24476623535156,71.12754821777344,125.07466125488281,111.815673828125,42.120609283447266,106.39060974121094,46.70513153076172,3225.52001953125
2020-02-03,74.33518981933594,100.20999908447266,114.86534881591797,76.27600860595703,73.6919937133789,126.16691589355469,112.66890716552734,42.51972579956055,106.8089370727539,45.66006088256836,3248.919921875
2020-02-04,76.78926849365234,102.4834976196289,118.17579650878906,75.44039154052734,71.76432800292969,127.36832427978516,114.2908706665039,43.317970275878906,107.27848815917969,45.088653564453125,3297.590087890625
2020-02-05,77.41544342041016,101.99349975585938,121.65442657470703,75.8620834350586,71.82184600830078,129.3762969970703,116.23387908935547,43.92108154296875,108.26025390625,47.163761138916016,3334.68994140625
2020-02-06,78.32096862792969,102.5114974975586,121.48626708984375,75.69810485839844,73.21044158935547,128.98983764648438,116.25079345703125,43.50422668457031,108.5419921875,46.524696350097656,3345.780029296875
2020-02-07,77.25636291503906,103.96399688720703,118.0518798828125,75.18266296386719,73.35922241210938,127.6119613647461,115.87905883789062,42.50199508666992,107.63704681396484,46.216426849365234,3327.7099609375
2020-02-10,77.62328338623047,106.69550323486328,118.89274597167969,75.15142822265625,74.8197250366211,127.5867691040039,116.3606185913086,42.271385192871094,107.71388244628906,45.72834014892578,3352.090087890625
2020-02-11,77.15496063232422,107.54000091552734,120.54798889160156,75.74496459960938,74.8251953125,127.69602966308594,116.58025360107422,42.87450408935547,105.99787902832031,46.16304397583008,3357.75
2020-02-12,78.98723602294922,108.0,123.55746459960938,76.47123718261719,75.29532623291016,126.93986511230469,116.58025360107422,42.90110778808594,105.39176940917969,46.72740173339844,3379.449951171875
2020-02-13,78.42475128173828,107.49349975585938,123.67252349853516,78.94340515136719,75.11630249023438,126.09967803955078,116.47888946533203,42.52859115600586,106.68087005615234,46.46810531616211,3373.93994140625
2020-02-14,78.44407653808594,106.74349975585938,122.14124298095703,79.86603546142578,75.41783905029297,126.13329315185547,116.12405395507812,41.81904983520508,107.68826293945312,46.25456237792969,3380.159912109375
2020-02-18,77.0077133178711,107.78350067138672,120.89319610595703,80.44955444335938,75.36476135253906,125.301513671875,114.58654022216797,42.03190994262695,106.60403442382812,45.66733169555664,3370.2900390625
2020-02-19,78.12300109863281,108.51100158691406,121.14102172851562,79.97640991210938,75.71289825439453,125.13349151611328,116.14939880371094,42.315738677978516,107.09065246582031,46.01814651489258,3386.14990234375
2020-02-20,77.32154083251953,107.65499877929688,121.2029800415039,79.98431396484375,75.28939056396484,124.65462493896484,116.14939880371094,42.439903259277344,108.06390380859375,45.652069091796875,3373.22998046875
2020-02-21,75.57135009765625,104.79850006103516,121.4508285522461,80.77287292480469,73.65083312988281,125.96524810791016,114.73016357421875,43.078495025634766,108.16635131835938,45.09534454345703,3337.75
2020-02-24,71.98169708251953,100.4645004272461,116.98967742919922,80.67034912109375,70.50070190429688,123.36951446533203,111.64672088623047,41.94322204589844,105.2636947631836,42.98280715942383,3225.889892578125
2020-02-25,69.54352569580078,98.63700103759766,114.18377685546875,78.28099822998047,68.85717010498047,122.30416107177734,106.66248321533203,39.885520935058594,103.66725158691406,41.33547592163086,3128.2099609375
2020-02-26,70.6467514038086,98.97949981689453,113.51992797851562,78.02078247070312,69.09175872802734,121.48401641845703,106.98348999023438,38.73250198364258,102.58301544189453,40.42793273925781,3116.389892578125
2020-02-27,66.0286865234375,94.21499633789062,109.11190032958984,74.90594482421875,65.36783599853516,117.62844848632812,102.53150177001953,37.08280944824219,96.89723205566406,37.995094299316406,2978.760009765625
2020-02-28,65.99005126953125,94.1875,109.9704818725586,72.31155395507812,66.42119598388672,113.70523834228516,98.08792877197266,36.67481994628906,96.666748046875,39.230567932128906,2954.219970703125
2020-03-02,72.1337890625,97.69750213623047,112.94457244873047,76.230712890625,68.88992309570312,118.3894271850586,102.658203125,37.8721809387207,102.07078552246094,41.09143829345703,3090.22998046875
